date_time(UTC:PDT+7),vented_pressure(cm),water_temperature(deg_C),discharge_flag
2018-06-01 00:00:00,188.00064,8.835,0
2018-06-01 00:30:00,188.70168,8.940000000000001,0
2018-06-01 01:00:00,189.85992000000002,8.875,0
2018-06-01 01:30:00,190.6524,8.665,0
2018-06-01 02:00:00,191.90208,8.405000000000001,0
2018-06-01 02:30:00,192.51167999999998,8.09,0
2018-06-01 03:00:00,193.42608,7.7780000000000005,0
2018-06-01 03:30:00,193.79183999999998,7.454000000000001,0
2018-06-01 04:00:00,194.40144,7.1114999999999995,0
2018-06-01 04:30:00,194.4624,6.7595,0
2018-06-01 05:00:00,194.64528,6.373,0
2018-06-01 05:30:00,194.21856,5.996,0
2018-06-01 06:00:00,194.1576,5.601,0
2018-06-01 06:30:00,193.48704,5.247999999999999,0
2018-06-01 07:00:00,192.90792,4.9239999999999995,0
2018-06-01 07:30:00,192.54216,4.6114999999999995,0
2018-06-01 08:00:00,191.90208,4.311999999999999,0
2018-06-01 08:30:00,190.74384,4.0005,0
2018-06-01 09:00:00,190.01232,3.7215,0
2018-06-01 09:30:00,189.18936,3.4515000000000002,0
2018-06-01 10:00:00,188.33592000000002,3.207,0
2018-06-01 10:30:00,187.45200000000003,2.9779999999999998,0
2018-06-01 11:00:00,186.47664,2.771,0
2018-06-01 11:30:00,185.6232,2.561,0
2018-06-01 12:00:00,184.76976000000002,2.3755,0
2018-06-01 12:30:00,183.85536,2.19,0
2018-06-01 13:00:00,183.09336,2.042,0
2018-06-01 13:30:00,182.27040000000002,1.8925,0
2018-06-01 14:00:00,181.38647999999998,1.7805,0
2018-06-01 14:30:00,180.86832,1.717,0
2018-06-01 15:00:00,180.1368,1.712,0
2018-06-01 15:30:00,179.46624,1.772,0
2018-06-01 16:00:00,178.73472,1.928,0
2018-06-01 16:30:00,178.52136000000002,2.162,0
2018-06-01 17:00:00,177.6984,2.4755000000000003,0
2018-06-01 17:30:00,177.39360000000002,2.8775000000000004,0
2018-06-01 18:00:00,176.9364,3.367,0
2018-06-01 18:30:00,176.72304,3.948,0
2018-06-01 19:00:00,176.35728,4.6045,0
2018-06-01 19:30:00,176.02200000000002,5.3065,0
2018-06-01 20:00:00,175.62575999999999,6.0415,0
2018-06-01 20:30:00,175.38191999999998,6.7669999999999995,0
2018-06-01 21:00:00,175.01616,7.52,0
2018-06-01 21:30:00,174.86376,8.23,0
2018-06-01 22:00:00,174.74184,8.86,0
2018-06-01 22:30:00,174.89424000000002,9.445,0
2018-06-01 23:00:00,175.68672,9.935,0
2018-06-01 23:30:00,176.9364,10.315,0
2018-06-02 00:00:00,178.85664,10.594999999999999,0
2018-06-02 00:30:00,180.7464,10.74,0
2018-06-02 01:00:00,183.06288,10.725,0
2018-06-02 01:30:00,185.40984,10.594999999999999,0
2018-06-02 02:00:00,187.63487999999998,10.335,0
2018-06-02 02:30:00,189.52464,9.975,0
2018-06-02 03:00:00,191.5668,9.605,0
2018-06-02 03:30:00,193.66992000000002,9.2,0
2018-06-02 04:00:00,194.88912000000002,8.8,0
2018-06-02 04:30:00,196.32168,8.379999999999999,0
2018-06-02 05:00:00,196.9008,7.9615,0
2018-06-02 05:30:00,197.63232,7.5335,0
2018-06-02 06:00:00,197.63232,7.147,0
2018-06-02 06:30:00,197.78472,6.7905,0
2018-06-02 07:00:00,197.44943999999998,6.438,0
2018-06-02 07:30:00,196.9008,6.1375,0
